Crop wild relative	Related crop use category	Related crop common name
Rubus idaeus subsp. melanolasius Focke	Fruits	Raspberry
Rubus illecebrosus Focke	Fruits	Raspberry
Rubus occidentalis L.	Fruits	Raspberry
Rubus odoratus L.	Fruits	Raspberry
Rubus phoenicolasius Maxim.	Fruits	Raspberry
Rubus saxatilis L.	Fruits	Raspberry
Rubus spectabilis Pursh	Fruits	Raspberry
Saccharum spontaneum L.	Sugar	Sugarcane
Saccharum spontaneum subsp. aegyptiacum (Willd.) Hack.	Sugar	Sugarcane
Salsola vermiculata L.	Fodder/forage	Mediterranean saltwort
Schedonorus arundinaceus (Schreb.) Dumont subsp. arundinaceus	Fodder/forage	Tall fescue
Schedonorus arundinaceus (Schreb.) Dumort.	Fodder/forage	Tall fescue
Schedonorus arundinaceus subsp. atlantigenus (St.-Yves) H. Scholz	Fodder/forage	Tall fescue
Schedonorus arundinaceus subsp. cirtensis (St.-Yves) H. Scholz & Valdés	Fodder/forage	Tall fescue
Schedonorus arundinaceus subsp. corsicus (Hack.) Foggi & Signorini	Fodder/forage	Tall fescue
Schedonorus arundinaceus subsp. fenas (Lag.) H. Scholz	Fodder/forage	Tall fescue
Schedonorus arundinaceus subsp. mediterraneus (Hack.) H. Scholz & Valdés	Fodder/forage	Tall fescue
Ribes multiflorum subsp. sandalioticum Arrigoni	Fruits	Redcurrant
Ribes nigrum L.	Fruits	Blackcurrant
Ribes petraeum Wulfen	Fruits	Blackcurrant
Ribes rubrum L.	Fruits	Blackcurrant
Ribes sanguineum Pursh	Fruits	Blackcurrant
Ribes spicatum E. Robson	Fruits	Redcurrant
Ribes spicatum E. Robson subsp. spicatum	Fruits	Redcurrant
Ribes spicatum subsp. hispidulum (Jancz.) Hämet-Ahti	Fruits	Redcurrant
Ribes spicatum subsp. lapponicum Hyl.	Fruits	Redcurrant
Ribes uva-crispa L.	Fruits	Blackcurrant
Rorippa prolifera (Heuff.) Neilr.	Vegetables (salad)	Variableleaf yellowcress
Rorippa valdes-bermejoi (Castrov.) Mart.-Laborde & Castrov.	Vegetables (salad)	Variableleaf yellowcress
Rubus cockburnianus Hemsl.	Fruits	Raspberry
Rubus idaeus L.	Fruits	Raspberry
Pyrus spinosa Forssk.	Fruits	Ussurian pear
Pyrus syriaca Boiss.	Fruits	Pear
Raphanus raphanistrum L.	Oils/fodder	Rape
Raphanus raphanistrum L. subsp. raphanistrum	Vegetables (salad)	Radish
Raphanus raphanistrum subsp. landra (Moretti ex DC.) Bonnier & Layens	Vegetables (salad)	Radish
Raphanus raphanistrum subsp. rostratus (DC.) Thell.	Vegetables (salad)	Radish
Raphanus sativus L.	Fodder/forage	Fodder radish
Ribes aureum Pursh	Fruits	Blackcurrant
Ribes divaricatum Douglas	Fruits	Blackcurrant
Ribes multiflorum Roem. & Schult.	Fruits	Blackcurrant
Ribes multiflorum Roem. & Schult. subsp. multiflorum	Fruits	Redcurrant
Pyrus communis L. subsp. communis	Fruits	Pear
Pyrus communis subsp. caucasica (Fed.) Browicz	Fruits	Pear
Pyrus communis subsp. pyraster (L.) Ehrh.	Fruits	Pear
Pyrus cordata Desv.	Fruits	Pear
Pyrus elaeagrifolia Pall.	Fruits	Asian pear/Nashi pear
Pyrus elaeagrifolia Pall. subsp. elaeagrifolia	Fruits	Pear
Pyrus elaeagrifolia subsp. bulgarica (Kuth. & Sachok.) Valev	Fruits	Pear
Pyrus elaeagrifolia subsp. kotschyana (Decne.) Browicz	Fruits	Pear
Pyrus magyarica Terpó	Fruits	Asian pear/Nashi pear
Pyrus nivalis Jacq.	Fruits	Pear
Pyrus salicifolia Pall.	Fruits	Pear
Prunus spinosa L. subsp. spinosa	Fruits	Apricot
Prunus spinosa subsp. dasyphylla (Schur) Domin	Fruits	Apricot
Prunus tomentosa Thunb.	Fruits	Japanese plum
Prunus trichamygdalus Hand.-Mazz.	Nuts	Almond
Prunus webbii (Spach) Vierh.	Fruits	Peach
Pyrus bourgaeana Decne.	Fruits	Pear
Pyrus communis L.	Fruits	Pear
Prunus lusitanica subsp. hixa (Willd.) Franco	Fruits	Stonefruits
Prunus lycioides (Spach) C. K. Schneid.	Fruits	Peach
Prunus mahaleb L.	Fruits	Sour cherry
Prunus microcarpa C. A. Mey.	Fruits	Japanese plum
Prunus padus L.	Fruits	Sour cherry
Prunus padus L. subsp. padus	Fruits	Sweet cherry
Prunus padus subsp. borealis (A. Blytt) Nyman	Fruits	Sweet cherry
Prunus persica (L.) Batsch	Fruits	Peach
Prunus prostrata Labill.	Fruits	Myrobalan plum
Prunus ramburii Boiss.	Fruits	Japanese plum
Prunus spinosa L.	Fruits	Apricot
Prunus cerasifera Ehrh.	Fruits	Apricot
Prunus discolor (Spach) C. K. Schneid.	Nuts	Almond
Prunus dulcis (Mill.) D. A. Webb	Fruits	Peach
Prunus fenzliana R. M. Fritsch	Fruits	Peach
Prunus fruticosa Pall.	Fruits	Sour cherry
Prunus incana (Pall.) Steven	Fruits	Peach
Prunus kotschyi (Spach) Náb.	Nuts	Almond
Prunus lusitanica L.	Fruits	Stonefruits
Prunus lusitanica L. subsp. lusitanica	Fruits	Stonefruits
Prunus lusitanica subsp. azorica (Mouill.) Franco	Fruits	Stonefruits
Poa trivialis L. subsp. trivialis	Fodder/forage	Rough-stalked meadowgrass
Poa trivialis subsp. latifolia (Schur) Portal	Fodder/forage	Rough-stalked meadowgrass
Poa trivialis subsp. semineutra (Willd.) Portal	Fodder/forage	Rough-stalked meadowgrass
Poa trivialis subsp. sylvicola (Guss.) H. Lindb.	Fodder/forage	Rough-stalked meadowgrass
Prunus arabica (Olivier) Meikle	Nuts	Almond
Prunus argentea (Lam.) Rehder	Fruits	Peach
Prunus armeniaca L.	Fruits	Apricot
Prunus avium (L.) L.	Fruits	Sour cherry
Prunus brigantina Vill.	Fruits	Apricot
Prunus carduchorum (Bornm.) Meikle	Nuts	Almond
Pisum sativum L. subsp. sativum	Pulses	Garden pea
Pisum sativum subsp. elatius (M. Bieb.) Asch. & Graebn.	Pulses	Garden pea
Plantago lanceolata L.	Fodder/forage	Ribwort plantain
Poa alpina L.	Fodder/forage	Alpine bluegrass
Poa alpina L. subsp. Alpina	Fodder/forage	Alpine bluegrass
Poa alpina subsp. brevifolia Gaudin	Fodder/forage	Alpine bluegrass
Poa palustris L.	Fodder/forage	Swamp meadowgrass
Poa palustris L. subsp. palustris	Fodder/forage	Swamp meadowgrass
Poa palustris subsp. volhynensis (Klokov) Tzvelev	Fodder/forage	Swamp meadowgrass
Poa pratensis L.	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis L. subsp. pratensis	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis subsp. colpodea (Th. Fr.) Tzvelev	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis subsp. dolichophylla (Hack.) Portal	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis subsp. irrigata (Lindm.) H. Lindb.	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis subsp. jordanii Portal	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis subsp. rigens (Hartm.) Tzvelev	Fodder/forage	Smooth-stalked meadowgrass
Poa pratensis subsp. turfosa (Litv.) Vorosch.	Fodder/forage	Smooth-stalked meadowgrass
Poa trivialis L.	Fodder/forage	Rough-stalked meadowgrass
Phalaroides arundinacea subsp. rotgesii (Husn.) Valdés & H. Scholz	Fodder/forage	Reed canary grass
Phleum nodosum L.	Fodder/forage	Small timothy
Phleum pratense L.	Fodder/forage	Timothy
Phleum pratense L. subsp. pratense	Fodder/forage	Timothy
Phleum pratense subsp. brachystachyum (Salis) Gamisans	Fodder/forage	Timothy
Phoenix canariensis Chabaud	Fruits/oils	Date
Phoenix dactylifera L.	Fruits/oils	Date
Phoenix theophrasti Greuter	Fruits/oils	Date
Pistacia atlantica Desf.	Nuts	Pistachio
Pistacia atlantica subsp. cypricola H. Lindb.	Nuts	Pistachio
Pistacia atlantica subsp. mutica (Fisch. & C. A. Mey.) Rech. f.	Nuts	Pistachio
Pistacia eurycarpa Yalt.	Nuts	Pistachio
Pistacia khinjuk Stocks	Nuts	Pistachio
Pistacia lentiscus L.	Nuts	Pistachio
Pistacia terebinthus L.	Nuts	Pistachio
Pistacia terebinthus L. subsp. terebinthus	Nuts	Pistachio
Pistacia terebinthus subsp. palaestina (Boiss.) Engl.	Nuts	Pistachio
Pisum fulvum Sm.	Pulses	Garden pea
Olea europaea L. subsp. europaea	Fruits/oils	Olive
Olea europaea subsp. cerasiformis G. Kunkel & Sunding	Fruits/oils	Olive
Olea europaea subsp. guanchica P. Vargas & al.	Fruits/oils	Olive
Onobrychis viciifolia Scop.	Fodder/forage	Sainfoin
Ornithopus compressus L.	Fodder/forage	Yellow serradella
Ornithopus sativus Brot.	Fodder/forage	Serradella
Ornithopus sativus subsp. isthmocarpus (Coss.) Dostál	Fodder/forage	Serradella
Oryza rufipogon Griff.	Cereals	Rice
Panicum miliaceum L. subsp. miliaceum	Cereals	Proso millet
Panicum miliaceum subsp. agricolum H. Scholz & Mikoláš	Cereals	Proso millet
Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev	Cereals	Proso millet
Papaver somniferum L.	Oils/spices	Poppy seed
Patellifolia procumbens (C. Sm.) A. J. Scott & al.	Sugar/fodder/vegetables (green)	Sugarbeet
Phalaris aquatica L.	Fodder/forage	Harding grass
Phalaris canariensis L.	Fodder/forage	Canary grass
Phalaroides arundinacea (L.) Rauschert	Fodder/forage	Reed canary grass
Phalaroides arundinacea (L.) Rauschert subsp. arundinacea	Fodder/forage	Reed canary grass
Phalaroides arundinacea subsp. oehleri (Pilg.) Valdés & H. Scholz	Fodder/forage	Reed canary grass
Medicago turbinata (L.) All.	Fodder/forage	Barrel medic
Melilotus albus Medik.	Fodder/forage	Honey clover
Melilotus officinalis (L.) Lam.	Fodder/forage	Yellow sweet clover
Mentha suaveolens Ehrh.	Herbs	Peppermint
Mentha suaveolens Ehrh. subsp. suaveolens	Herbs	Peppermint
Mentha suaveolens subsp. insularis (Req. ex Gren. & Godr.) Greuter	Herbs	Peppermint
Moricandia arvensis (L.) DC.	Oils/fodder	Rape
Myrtus communis L.	Fruits	Myrtle berry
Myrtus communis L. subsp. communis	Fruits	Myrtle berry
Myrtus communis subsp. tarentina (L.) Nyman	Fruits	Myrtle berry
Ochlopoa annua (L.) H. Scholz	Fodder/forage	Annual meadowgrass
Ochlopoa annua (L.) H. Scholz subsp. annua	Fodder/forage	Annual meadowgrass
Ochlopoa annua subsp. notabilis (Chrtek & V. Jirásek) H. Scholz & Valdés	Fodder/forage	Annual meadowgrass
Ochlopoa annua subsp. pilantha (Ronniger) H. Scholz & Valdés	Fodder/forage	Annual meadowgrass
Ochlopoa annua subsp. raniglumis (E. Fröhner) H. Scholz & Valdés	Fodder/forage	Annual meadowgrass
Medicago rigidula (L.) All.	Fodder/forage	Field medic
Medicago rugosa Desr.	Fodder/forage	Alfalfa
Medicago rupestris M. Bieb.	Fodder/forage	Alfalfa
Medicago sativa L.	Fodder/forage	Lucerne
Medicago sativa L. subsp. sativa	Fodder/forage	Alfalfa
Medicago sativa nothosubsp. varia (Martyn) Arcang.	Fodder/forage	Alfalfa
Medicago sativa subsp. microcarpa Urb.	Fodder/forage	Alfalfa
Medicago scutellata (L.) Mill.	Fodder/forage	Barrel medic
Medicago soleirolii Duby	Fodder/forage	Alfalfa
Medicago strasseri Greuter & al.	Fodder/forage	Alfalfa
Medicago tornata subsp. helix (Willd.) Ooststr. & Reichg.	Fodder/forage	Barrel medic
Medicago truncatula Gaertn.	Fodder/forage	Barrel clover
Medicago fischeriana (Ser.) Trautv.	Fodder/forage	Barrel medic
Medicago glomerata Balb.	Fodder/forage	Alfalfa
Medicago heyniana Greuter	Fodder/forage	Alfalfa
Medicago hypogaea E. Small	Fodder/forage	Alfalfa
Medicago littoralis Loisel.	Fodder/forage	Barrel medic
Medicago lupulina L.	Fodder/forage	Trefoil
Medicago lupulina var. cupaniana (Guss.) Boiss.	Fodder/forage	Trefoil
Medicago marina L.	Fodder/forage	Alfalfa
Medicago murex Willd.	Fodder/forage	Alfalfa
Medicago papillosa Boiss.	Fodder/forage	Alfalfa
Medicago pironae Vis.	Fodder/forage	Alfalfa
Medicago polymorpha L.	Fodder/forage	Bur medic
Medicago prostrata Jacq.	Fodder/forage	Alfalfa
Lupinus pilosus L.	Fodder/forage	Sandplain lupin
Malus crescimannoi Raimondo	Fruits	Apple
Malus pumila Mill.	Fruits	Apple
Malus sylvestris (L.) Mill.	Fruits	Apple
Malus sylvestris (L.) Mill. subsp. sylvestris	Fruits	Apple
Malus sylvestris subsp. orientalis (Uglitzk.) Browicz	Fruits	Apple
Malus sylvestris subsp. praecox (Pall.) Soó	Fruits	Apple
Medicago arborea L.	Fodder/forage	Alfalfa
Medicago cancellata M. Bieb.	Fodder/forage	Alfalfa
Medicago constricta Durieu	Fodder/forage	Barrel medic
Medicago cretacea M. Bieb.	Fodder/forage	Alfalfa
Medicago doliata Carmign.	Fodder/forage	Barrel medic
Medicago falcata L.	Fodder/forage	Alfalfa
Lupinus albus L. subsp. albus	Fodder/forage	Andean lupin
Lupinus albus subsp. graecus (Boiss. & Spruner) Franco & P. Silva	Fodder/forage	Andean lupin
Lupinus angustifolius L.	Fodder/forage	Blue lupin
Lupinus angustifolius L. subsp. angustifolius	Fodder/forage	Blue lupin
Lupinus angustifolius subsp. reticulatus (Desv.) Arcang.	Fodder/forage	Blue lupin
Lupinus cosentinii Guss.	Fodder/forage	Sandplain lupin
Lupinus hispanicus Boiss. & Reut.	Fodder/forage	Blue lupin
Lupinus hispanicus var. bicolor (Merino) Gladst.	Fodder/forage	Blue lupin
Lupinus luteus L.	Fodder/forage	Blue lupin
Lupinus micranthus Guss.	Fodder/forage	White lupin
Linum hirsutum subsp. platyphyllum (P. H. Davis) Yılmaz & Kaynak	Seeds/oils	Linseed
Linum hirsutum subsp. pseudoanatolicum P. H. Davis	Seeds/oils	Linseed
Linum hirsutum subsp. spathulatum (Halácsy & Bald.) Hayek	Seeds/oils	Linseed
Linum nervosum subsp. jailicola (Juz.) T. V. Egorova	Seeds/oils	Linseed
Linum nervosum Waldst. & Kit.	Seeds/oils	Linseed
Lolium multiflorum Lam.	Fodder/forage	Italian ryegrass
Lolium perenne L.	Fodder/forage	Perennial ryegrass
Lolium perenne L. subsp. perenne	Fodder/forage	Perennial ryegrass
Lolium rigidum Gaudin	Fodder/forage	Annual ryegrass
Lolium rigidum Gaudin subsp. rigidum	Fodder/forage	Annual ryegrass
Lolium rigidum subsp. lepturoides Sennen & Mauricio	Fodder/forage	Annual ryegrass
Lolium temulentum L.	Fodder/forage	Bearded ryegrass
Lotus corniculatus L.	Fodder/forage	Birdsfoot trefoil
Lotus corniculatus subsp. frondosus Freyn	Fodder/forage	Birdsfoot trefoil
Lotus pedunculatus Cav.	Fodder/forage	Greater birdsfoot trefoil
Lotus subbiflorus Lag.	Fodder/forage	Hairy birdsfoot trefoil
Lupinus albus L.	Fodder/forage	Andean lupin
Lepidium sativum L. subsp. sativum	Vegetables (salad)	Garden cress
Leymus angustus (Trin.) Pilg.	Cereals	Wheat
Leymus arenarius (L.) Hochst.	Cereals	Wheat
Leymus mollis (Trin.) H. Hara	Cereals	Wheat
Leymus racemosus (Lam.) Tzvelev	Cereals	Wheat
Leymus racemosus (Lam.) Tzvelev subsp. racemosus	Cereals	Wheat
Leymus racemosus subsp. klokovii Tzvelev	Cereals	Wheat
Leymus racemosus subsp. sabulosus (M. Bieb.) Tzvelev	Cereals	Wheat
Linum bienne Mill.	Seeds/oils	Linseed
Linum corymbiferum Desf.	Seeds/oils	Linseed
